Index,ID,Attempt Number,Time taken,10,0.63,1.25,1.25,3.75,3.13
1,2021673,1,10 mins 23 secs,8.75,0.63,0,1.25,3.75,3.13
2,1014676,1,9 mins 2 secs,8.13,0.63,1.25,1.25,1.88,3.13
3,2815685,1,4 mins 58 secs,9.38,0.63,1.25,1.25,3.13,3.13
4,2816679,1,12 mins 54 secs,7.5,0.63,0,1.25,3.13,2.5
5,2021673,2,9 mins 42 secs,10,0.63,1.25,1.25,3.75,3.13
6,2321365,1,7 mins 53 secs,7.19,0.63,0,0.31,3.75,2.5
7,2402507,1,11 mins 15 secs,7.5,0.63,1.25,0,2.5,3.13
8,2717685,1,13 mins 32 secs,2.5,0.63,0,0,0,1.88
9,2717685,2,9 mins 19 secs,6.25,0.63,1.25,1.25,1.88,1.25
10,2717685,3,12 mins 13 secs,7.5,0.63,1.25,1.25,1.25,3.13
11,1400669,1,23 mins 23 secs,7.5,0.63,1.25,1.25,1.25,3.13
12,2303686,1,3 mins 38 secs,6.56,0.63,0,0.31,3.13,2.5
13,2313065,1,4 mins,4.38,0.63,0,0,0.63,3.13
14,2313065,2,2 mins 36 secs,8.75,0.63,1.25,1.25,2.5,3.13
15,2332367,1,20 hours 1 min,6.25,0.63,0,1.25,1.25,3.13
16,2108679,1,5 mins 18 secs,3.75,0.63,0,0.63,0.63,1.88
17,2811669,1,4 days 1 hour,5.31,0.63,1.25,0.31,1.25,1.88
18,2332367,2,3 mins 24 secs,6.88,0.63,0,1.25,1.88,3.13
19,2332367,3,2 mins 47 secs,10,0.63,1.25,1.25,3.75,3.13
20,2332367,4,15 hours 25 mins,9.38,0.63,1.25,1.25,3.75,2.5
21,2291566,1,7 mins 48 secs,3.75,0.63,1.25,0,0.63,1.25
22,2216669,1,4 mins 4 secs,5.63,0.63,0,1.25,1.25,2.5
23,2305682,1,14 mins 7 secs,5,0.63,1.25,0,1.25,1.88
24,2305682,2,1 min 23 secs,6.88,0.63,1.25,1.25,2.5,1.25
25,2305682,3,1 min 49 secs,8.75,0.63,1.25,1.25,3.13,2.5
26,2305682,4,1 min 28 secs,10,0.63,1.25,1.25,3.75,3.13
27,2304679,1,1 day 21 hours,5.63,0.63,0,1.25,3.13,0.63
28,2453065,1,3 mins 5 secs,0.63,0.63,0,0,0,0
29,2318682,1,11 mins 19 secs,7.5,0.63,1.25,1.25,1.25,3.13
30,2332367,5,3 mins 59 secs,10,0.63,1.25,1.25,3.75,3.13
31,2718674,1,31 mins 38 secs,10,0.63,1.25,1.25,3.75,3.13
32,2108679,2,6 mins 25 secs,9.06,0.63,1.25,0.31,3.75,3.13
33,2382967,1,2 mins 35 secs,1.25,0.63,0,0,0.63,0
34,3416679,1,1 day 1 hour,9.38,0.63,1.25,1.25,3.75,2.5
35,1406679,1,4 mins 32 secs,1.56,0,0,0.31,0.63,0.63
36,1406679,2,1 day 10 hours,1.25,0.63,0,0,0,0.63
37,2018672,1,7 mins 33 secs,3.75,0.63,0,0,1.25,1.88
38,2305682,5,5 mins 51 secs,10,0.63,1.25,1.25,3.75,3.13
39,9211865,1,7 mins 23 secs,2.81,0.63,0,0.31,0.63,1.25
40,2291566,2,4 mins 27 secs,7.81,0.63,0,0.31,3.75,3.13
41,2216669,2,1 day 5 hours,7.5,0.63,1.25,1.25,1.88,2.5
42,2301682,1,26 mins 1 sec,6.88,0.63,0,1.25,1.88,3.13
43,1401685,1,5 mins 41 secs,1.88,0.63,0,0,0.63,0.63
44,1401685,2,1 min 15 secs,4.38,0.63,0,1.25,0.63,1.88
45,2214669,1,6 mins 58 secs,10,0.63,1.25,1.25,3.75,3.13
46,2343365,1,16 mins 40 secs,7.5,0.63,0,1.25,2.5,3.13
47,2453065,2,13 mins 23 secs,3.75,0.63,1.25,1.25,0.63,0
48,1002673,1,9 mins 37 secs,6.88,0.63,1.25,1.25,1.88,1.88
49,2721669,1,7 mins 1 sec,6.88,0.63,1.25,1.25,0.63,3.13
50,2341865,1,5 mins 37 secs,4.69,0.63,1.25,0.31,0.63,1.88
51,2311673,1,10 mins 48 secs,6.88,0.63,1.25,1.25,0.63,3.13
52,2321465,1,17 mins 6 secs,8.44,0.63,1.25,0.31,3.13,3.13
53,2311673,2,2 mins 11 secs,8.75,0.63,1.25,1.25,2.5,3.13
54,2308679,1,1 day 18 hours,5,0.63,0,1.25,0,3.13
55,2108679,3,5 mins 42 secs,9.38,0.63,1.25,1.25,3.13,3.13
56,1401679,1,7 mins 20 secs,4.06,0.63,0,0.31,1.25,1.88
57,1401679,2,14 hours 31 mins,9.38,0,1.25,1.25,3.75,3.13
58,2700682,1,4 mins 18 secs,3.44,0.63,0,0.31,1.25,1.25
59,2304679,2,37 mins 43 secs,6.25,0.63,1.25,0,3.75,0.63
60,2382967,2,5 mins 18 secs,0.63,0.63,0,0,0,0
61,2453065,3,9 mins 32 secs,5.63,0.63,1.25,1.25,0.63,1.88
62,2341365,1,10 mins 46 secs,3.75,0.63,1.25,0,0,1.88
63,1817689,1,23 hours 44 mins,3.44,0.63,1.25,0.31,0.63,0.63
64,2717685,4,14 hours 21 mins,5.63,0.63,1.25,1.25,1.25,1.25
65,1416669,1,7 mins 45 secs,4.38,0.63,1.25,0,0,2.5
66,2105679,1,8 mins 36 secs,8.13,0.63,1.25,0,3.13,3.13
67,3306685,1,4 mins 39 secs,3.13,0.63,0,0,0.63,1.88
68,2804676,1,7 mins 22 secs,8.75,0.63,1.25,1.25,2.5,3.13
69,2311673,3,1 min 46 secs,10,0.63,1.25,1.25,3.75,3.13
70,2332665,1,6 mins 19 secs,1.88,0.63,0,0,0,1.25
71,2815685,2,4 mins 13 secs,10,0.63,1.25,1.25,3.75,3.13
72,2900682,1,6 mins 49 secs,7.81,0.63,0,0.31,3.75,3.13
73,1001682,1,5 mins 24 secs,4.38,0,0,0,1.88,2.5
74,2311673,4,1 min 9 secs,10,0.63,1.25,1.25,3.75,3.13
75,2292865,1,12 mins 15 secs,1.56,0.63,0,0.31,0,0.63
76,1321673,1,7 mins 44 secs,5,0.63,0,1.25,1.25,1.88
77,2816679,2,41 mins 36 secs,8.75,0.63,1.25,1.25,3.13,2.5
78,2321465,2,15 mins 31 secs,8.13,0.63,1.25,1.25,2.5,2.5
79,2341365,2,1 min 49 secs,4.06,0.63,0,0.31,0.63,2.5
80,2391265,1,8 mins 39 secs,8.75,0.63,0,1.25,3.75,3.13
81,2342265,1,3 mins 58 secs,8.75,0.63,1.25,1.25,3.13,2.5
82,2110669,1,30 mins 23 secs,10,0.63,1.25,1.25,3.75,3.13
83,1799678,1,11 mins 48 secs,7.5,0.63,0,1.25,3.75,1.88
84,2382365,1,14 mins 44 secs,9.38,0.63,1.25,1.25,3.75,2.5
85,1400685,1,9 mins 55 secs,1.25,0,0,0,0.63,0.63
86,2302673,1,8 mins 14 secs,5.63,0.63,1.25,0,1.25,2.5
87,2717685,5,28 mins 13 secs,9.38,0.63,1.25,1.25,3.13,3.13
88,2021673,3,4 mins 30 secs,10,0.63,1.25,1.25,3.75,3.13
89,2341365,3,5 mins 6 secs,5.31,0,1.25,0.31,1.88,1.88
90,2016685,1,7 mins 24 secs,8.75,0.63,1.25,0,3.75,3.13
91,1401676,1,11 mins 56 secs,7.5,0.63,0,0,3.75,3.13
92,3320673,1,8 mins 1 sec,5.63,0,0,1.25,1.88,2.5
93,2453065,4,7 mins 32 secs,5.31,0,1.25,0.31,1.25,2.5
94,2721669,2,43 mins 17 secs,5.94,0,1.25,0.31,2.5,1.88
95,2343365,2,6 mins 21 secs,9.38,0,1.25,1.25,3.75,3.13
96,2305682,6,5 mins 3 secs,10,0.63,1.25,1.25,3.75,3.13
97,2114672,1,28 mins 33 secs,6.25,0.63,0,1.25,1.25,3.13
98,2341865,1,9 mins 58 secs,5,0.63,0,1.25,0,3.13
99,1819682,1,6 mins 53 secs,5,0.63,0,1.25,1.25,1.88
100,1400669,2,3 mins 40 secs,7.5,0.63,1.25,1.25,1.25,3.13
101,2107670,1,44 mins 42 secs,5.63,0.63,1.25,1.25,0.63,1.88
102,2332367,6,14 mins 20 secs,9.38,0.63,1.25,1.25,3.75,2.5
103,1401682,1,23 mins 12 secs,6.56,0.63,1.25,0.31,1.25,3.13
104,2110679,1,33 mins 3 secs,7.5,0.63,0,1.25,2.5,3.13
105,2108679,4,2 mins 49 secs,10,0.63,1.25,1.25,3.75,3.13
106,1014676,2,11 mins 26 secs,7.81,0.63,1.25,0.31,2.5,3.13
107,2109673,1,4 mins 39 secs,3.44,0.63,0,0.31,0,2.5
108,2381365,1,2 mins 36 secs,0.94,0.63,0,0.31,0,0
109,2341865,2,2 mins 44 secs,8.13,0,1.25,1.25,2.5,3.13
110,2341465,1,5 mins 44 secs,3.13,0.63,0,1.25,0,1.25
111,2382967,3,15 mins 35 secs,6.25,0.63,0,1.25,2.5,1.88
112,2453065,5,7 mins 50 secs,8.75,0.63,1.25,1.25,3.13,2.5
113,2014679,1,11 mins 7 secs,1.88,0.63,0,0,0.63,0.63
114,2313065,3,6 mins 17 secs,10,0.63,1.25,1.25,3.75,3.13
115,2453065,6,1 min 16 secs,7.5,0,1.25,1.25,1.88,3.13
116,2251265,1,5 mins 5 secs,6.25,0.63,0,0.63,1.88,3.13
117,2332367,7,2 mins 14 secs,10,0.63,1.25,1.25,3.75,3.13
118,2382967,4,5 mins 45 secs,6.25,0.63,0,1.25,1.25,3.13
119,2321365,2,3 mins 56 secs,8.75,0.63,0,1.25,3.75,3.13
120,2014679,2,19 mins 37 secs,3.75,0.63,0,1.25,0.63,1.25
121,2304679,3,6 mins 37 secs,9.38,0.63,1.25,1.25,3.13,3.13
122,1416669,2,7 mins 37 secs,7.5,0.63,0,1.25,3.13,2.5
123,2381865,1,13 mins 32 secs,2.81,0.63,0,0.31,0.63,1.25
124,3406673,1,8 mins 14 secs,10,0.63,1.25,1.25,3.75,3.13
125,2105679,2,4 mins 4 secs,10,0.63,1.25,1.25,3.75,3.13
126,2111679,1,19 mins 27 secs,2.81,0.63,0,0.31,0,1.88
127,2108679,5,2 mins 16 secs,9.38,0.63,1.25,1.25,3.13,3.13
128,3306685,2,3 mins 57 secs,8.13,0.63,1.25,1.25,1.88,3.13
129,2111679,2,3 mins 11 secs,8.75,0.63,1.25,1.25,2.5,3.13
130,2362965,1,21 mins 38 secs,6.25,0.63,1.25,0,1.25,3.13
131,2321665,1,10 mins 35 secs,5.63,0.63,0,1.25,3.13,0.63
132,6212665,1,12 mins 53 secs,2.5,0.63,0,0,0,1.88
133,2809669,1,3 mins 54 secs,9.06,0.63,1.25,0.31,3.75,3.13
134,2321665,2,1 min 50 secs,10,0.63,1.25,1.25,3.75,3.13
135,2818679,1,5 mins 34 secs,8.75,0,1.25,1.25,3.13,3.13
136,6212665,2,2 mins 13 secs,6.88,0.63,1.25,1.25,0.63,3.13
137,2810689,1,5 mins 51 secs,6.88,0.63,1.25,0,3.13,1.88
138,2393365,1,9 mins 19 secs,8.75,0.63,1.25,1.25,3.13,2.5
139,2107670,2,8 mins 8 secs,5.63,0.63,1.25,1.25,1.25,1.25
140,6212665,3,2 mins 31 secs,6.88,0.63,1.25,1.25,0.63,3.13
141,2318685,1,21 mins 14 secs,1.25,0.63,0,0,0.63,0
142,1401679,3,1 min 43 secs,10,0.63,1.25,1.25,3.75,3.13
143,2202685,1,3 mins 2 secs,1.88,0.63,0,0,0,1.25
144,3404673,1,6 mins 23 secs,10,0.63,1.25,1.25,3.75,3.13
145,2281465,1,3 mins 42 secs,6.56,0.63,1.25,0.31,1.25,3.13
146,1401676,2,3 mins 54 secs,9.38,0.63,1.25,1.25,3.13,3.13
147,2453065,7,1 min 29 secs,8.75,0.63,1.25,1.25,2.5,3.13
