Index,ID,Attempt Number,Time taken,10,1.67,3.33,3.33,1.67
1,2332367,1,7 hours 12 mins,3.33,0,0,1.67,1.67
2,2303686,1,2 mins 44 secs,6.67,0.83,2.5,3.33,0
3,2305682,1,2 days 18 hours,2.5,0,2.5,0,1.67
4,2332367,2,2 mins 9 secs,8.33,0.83,2.5,3.33,0
5,2342265,1,1 hour 22 mins,5,0,3.33,0,0
6,2721669,1,2 mins 17 secs,9.17,0.83,3.33,3.33,1.67
7,2321365,1,5 mins 18 secs,5,0.83,2.5,1.67,1.67
8,2453065,1,1 min 46 secs,2.5,0,2.5,0,1.67
9,2332367,3,2 mins 51 secs,10,1.67,3.33,3.33,1.67
10,2332367,4,1 day 16 hours,10,1.67,3.33,3.33,0
11,2318682,1,5 mins 19 secs,5,0.83,2.5,0,0
12,2718674,1,3 days 9 hours,10,1.67,3.33,3.33,0
13,2402507,1,4 mins 22 secs,4.17,0.83,1.67,0,0
14,2108679,1,5 mins 33 secs,5,0,3.33,1.67,0
15,2382967,1,1 min 37 secs,3.33,0.83,2.5,0,0
16,2811669,1,5 mins 59 secs,5,0.83,0.83,1.67,1.67
17,2304679,1,2 mins 58 secs,5.83,0,2.5,1.67,0
18,2021673,1,8 mins,10,1.67,3.33,3.33,0
19,2291566,1,5 mins 53 secs,5.83,0,2.5,3.33,1.67
20,9211865,1,7 mins 18 secs,5,0.83,2.5,0,1.67
21,2318682,2,33 mins,6.67,1.67,3.33,0,1.67
22,2216669,1,2 mins 5 secs,4.17,0.83,3.33,0,1.67
23,2018672,1,6 mins 10 secs,5.83,0,2.5,1.67,1.67
24,1401685,1,10 mins 2 secs,3.33,0,3.33,0,1.67
25,1401685,2,1 min 18 secs,5.83,0.83,3.33,0,0
26,2214669,1,3 mins 52 secs,7.5,0.83,3.33,1.67,1.67
27,2453065,2,3 mins 28 secs,4.17,0.83,3.33,0,0
28,2343365,1,9 mins 51 secs,7.5,1.67,2.5,1.67,1.67
29,1002673,1,5 mins 2 secs,3.33,0.83,2.5,0,1.67
30,2301682,1,4 mins 42 secs,4.17,0,2.5,0,1.67
31,2311673,1,8 mins 8 secs,2.5,0,2.5,0,1.67
32,2341865,1,4 mins 51 secs,2.5,0,2.5,0,0
33,2321465,1,9 mins 23 secs,3.33,0,3.33,0,1.67
34,2311673,2,4 mins 6 secs,3.33,0,3.33,0,0
35,2341865,2,44 secs,10,1.67,3.33,3.33,1.67
36,2311673,3,32 secs,6.67,0,3.33,3.33,1.67
37,2321465,2,1 min 2 secs,10,1.67,3.33,3.33,1.67
38,1400669,1,1 hour 23 mins,5.83,0.83,3.33,1.67,1.67
39,2108679,2,2 mins 14 secs,6.67,0,3.33,3.33,0
40,1401679,1,3 mins 32 secs,5,0.83,2.5,1.67,1.67
41,2700682,1,2 mins 14 secs,6.67,1.67,3.33,0,1.67
42,2303686,2,3 mins 8 secs,10,1.67,3.33,3.33,1.67
43,2304679,2,3 mins 56 secs,9.17,0.83,3.33,3.33,1.67
44,2382967,2,11 mins 31 secs,3.33,0,3.33,0,0
45,2453065,3,1 min 26 secs,7.5,0.83,3.33,1.67,1.67
46,2341365,1,17 mins 27 secs,5,0,3.33,1.67,1.67
47,1416669,1,4 mins 16 secs,8.33,1.67,3.33,1.67,0
48,2105679,1,4 mins 59 secs,6.67,1.67,3.33,0,1.67
49,1416669,2,1 day,9.17,0.83,3.33,3.33,1.67
50,2332367,5,1 min 28 secs,10,1.67,3.33,3.33,0
51,3306685,1,5 mins 54 secs,4.17,0,2.5,0,1.67
52,2311673,4,1 min 50 secs,6.67,0,3.33,3.33,1.67
53,1400669,2,44 secs,8.33,1.67,3.33,3.33,1.67
54,1400669,3,10 hours 27 mins,10,1.67,3.33,3.33,1.67
55,2804676,1,5 hours 59 mins,8.33,0,3.33,3.33,1.67
56,2815685,1,4 mins 58 secs,7.5,1.67,2.5,3.33,1.67
57,2291566,2,1 min 15 secs,8.33,0,3.33,3.33,0
58,2332665,1,7 mins 26 secs,5,1.67,3.33,0,0
59,1401679,2,2 mins 40 secs,6.67,1.67,3.33,1.67,1.67
60,2900682,1,7 mins 50 secs,9.17,0.83,3.33,3.33,0
61,1001682,1,5 mins 14 secs,5,0.83,2.5,0,1.67
62,1001682,2,1 min 5 secs,8.33,1.67,3.33,1.67,0
63,2321465,3,7 mins 13 secs,8.33,1.67,3.33,3.33,0
64,1001682,3,1 min 32 secs,10,1.67,3.33,3.33,0
65,2321465,4,45 secs,8.33,1.67,3.33,3.33,1.67
66,2321465,5,41 secs,10,1.67,3.33,3.33,0
67,1321673,1,7 mins 25 secs,5.83,1.67,2.5,1.67,1.67
68,2391265,1,7 mins 56 secs,6.67,1.67,3.33,0,1.67
69,2292865,1,3 mins 41 secs,1.67,0.83,0.83,0,0
70,2342265,2,8 mins 34 secs,6.67,1.67,3.33,0,1.67
71,3416679,1,17 mins 47 secs,6.67,0,3.33,3.33,0
72,2382365,1,6 mins 20 secs,8.33,0,3.33,3.33,0
73,2342265,3,1 min 56 secs,10,1.67,3.33,3.33,0
74,1799678,1,9 mins 4 secs,5,0,3.33,0,1.67
75,2110669,1,24 mins 34 secs,8.33,0,3.33,3.33,0
76,2021673,2,51 secs,10,1.67,3.33,3.33,0
77,2302673,1,5 mins 2 secs,5,0.83,2.5,1.67,0
78,2332367,6,5 mins 57 secs,10,1.67,3.33,3.33,0
79,2341365,2,1 min 37 secs,9.17,0.83,3.33,3.33,0
80,2717685,1,8 hours 11 mins,0,0,0,0,1.67
81,3320673,1,9 mins 21 secs,4.17,1.67,2.5,0,1.67
82,1401676,1,7 mins 56 secs,7.5,0,2.5,3.33,0
83,2453065,4,3 mins 35 secs,8.33,1.67,3.33,3.33,1.67
84,2305682,2,4 mins 40 secs,3.33,0,3.33,0,0
85,2343365,2,16 mins 18 secs,8.33,1.67,3.33,1.67,0
86,2402507,2,53 secs,10,1.67,3.33,3.33,0
87,2305682,3,2 mins 52 secs,9.17,0.83,3.33,3.33,1.67
88,2114672,1,12 hours 21 mins,2.5,0,2.5,0,0
89,2341865,1,18 mins 46 secs,10,1.67,3.33,3.33,1.67
90,2816679,1,5 mins 39 secs,5,0.83,2.5,0,1.67
91,2109673,1,6 mins 18 secs,5,0.83,2.5,1.67,1.67
92,2108679,3,1 min 8 secs,10,1.67,3.33,3.33,1.67
93,2107670,1,10 mins 22 secs,3.33,0.83,2.5,0,1.67
94,2341465,1,5 mins 49 secs,8.33,1.67,3.33,1.67,1.67
95,1014676,2,10 mins 54 secs,5.83,1.67,2.5,0,1.67
96,2110679,1,2 mins 37 secs,8.33,0.83,2.5,3.33,1.67
97,1406679,1,4 mins 41 secs,4.17,0,2.5,1.67,1.67
98,2341865,2,1 min 1 sec,10,1.67,3.33,3.33,0
99,2016685,1,5 mins 52 secs,2.5,0,2.5,0,0
100,2381365,1,5 mins 35 secs,1.67,1.67,0,0,0
101,2453065,5,4 mins 3 secs,7.5,1.67,2.5,3.33,1.67
102,2382967,3,5 mins 1 sec,8.33,1.67,3.33,3.33,1.67
103,2453065,6,32 secs,8.33,1.67,3.33,3.33,1.67
104,2313065,1,4 mins 30 secs,2.5,0,2.5,0,0
105,2332367,7,48 secs,10,1.67,3.33,3.33,0
106,1817689,1,6 mins 26 secs,4.17,0,2.5,1.67,0
107,2321365,2,2 mins 45 secs,8.33,1.67,3.33,1.67,0
108,2304679,3,3 mins 53 secs,10,1.67,3.33,3.33,0
109,2014679,1,8 mins 56 secs,5.83,0.83,3.33,1.67,1.67
110,2105679,2,2 mins 19 secs,10,1.67,3.33,3.33,0
111,2313065,2,5 mins 55 secs,9.17,0.83,3.33,3.33,0
112,3406673,1,6 mins 33 secs,5,0.83,2.5,1.67,1.67
113,3306685,2,2 mins 45 secs,7.5,0.83,3.33,3.33,0
114,2108679,4,1 min 15 secs,9.17,0.83,3.33,3.33,1.67
115,2362965,1,18 mins 12 secs,0,0,0,0,0
116,2362965,2,40 secs,8.33,0,3.33,3.33,1.67
117,2809669,1,3 mins 4 secs,7.5,0.83,3.33,3.33,0
118,2818679,1,6 mins 37 secs,7.5,0.83,3.33,1.67,1.67
119,2321665,1,14 mins 34 secs,5.83,1.67,2.5,1.67,1.67
120,2810689,1,3 mins 20 secs,6.67,0,3.33,1.67,1.67
121,2393365,1,9 mins 28 secs,5,1.67,3.33,0,1.67
122,2107670,2,2 mins 42 secs,4.17,0.83,3.33,0,0
123,6212665,1,4 mins 37 secs,3.33,0.83,2.5,0,1.67
124,6212665,2,57 secs,8.33,1.67,3.33,3.33,1.67
125,1014682,1,5 mins 11 secs,2.5,0,0.83,1.67,0
126,2317684,1,14 mins 8 secs,5.83,0,0.83,3.33,0
127,1401679,3,3 mins,9.17,0.83,3.33,3.33,1.67
128,2281465,1,1 min 59 secs,5.83,0.83,3.33,0,0
129,2318685,1,52 mins 12 secs,5,0,1.67,1.67,1.67
130,2202685,1,3 mins 13 secs,4.17,1.67,2.5,0,1.67
131,2381865,1,5 mins 17 secs,5,0.83,2.5,1.67,0
132,1401676,2,1 min 27 secs,10,1.67,3.33,3.33,0
133,2308679,1,6 mins 19 secs,3.33,0,3.33,0,1.67
134,2453065,7,1 min 11 secs,10,1.67,3.33,3.33,0
135,2291566,3,55 secs,8.33,0,3.33,3.33,1.67
136,3404673,1,3 mins 56 secs,5.83,0.83,3.33,0,1.67
137,2308679,2,1 min 32 secs,10,1.67,3.33,3.33,1.67
138,2292865,2,1 min 56 secs,6.67,0,3.33,3.33,0
139,2343365,3,1 min 38 secs,10,1.67,3.33,3.33,1.67
140,3306685,3,2 mins 32 secs,9.17,0.83,3.33,3.33,1.67
141,2218682,1,4 mins 29 secs,3.33,0.83,2.5,0,1.67
142,2251265,1,3 mins 37 secs,5.83,0.83,3.33,0,0
143,1008679,1,6 mins 19 secs,4.17,0,2.5,0,1.67
144,1014682,2,1 min 27 secs,8.33,1.67,3.33,3.33,1.67
145,2292865,3,1 min 16 secs,8.33,1.67,3.33,3.33,1.67
146,2301676,1,4 mins 1 sec,6.67,0,1.67,3.33,1.67
147,1401679,4,1 min 13 secs,10,1.67,3.33,3.33,0
148,1014676,3,2 mins 14 secs,10,1.67,3.33,3.33,0
149,2391265,2,1 min 48 secs,10,1.67,3.33,3.33,1.67
150,2218682,2,4 mins 26 secs,9.17,0.83,3.33,3.33,1.67
151,2341465,2,2 mins 2 secs,5,1.67,3.33,0,1.67
152,2321665,2,8 mins 50 secs,10,1.67,3.33,3.33,1.67
153,2804676,2,1 min 41 secs,10,1.67,3.33,3.33,0
154,2021672,1,8 mins 5 secs,0,0,0,0,0
155,2332665,2,3 mins 45 secs,6.67,1.67,3.33,0,0
156,2302673,2,3 mins 32 secs,6.67,1.67,3.33,0,1.67
157,2306679,1,4 mins 36 secs,7.5,1.67,2.5,1.67,1.67
158,1401682,1,3 mins 51 secs,4.17,0,2.5,0,1.67
159,2021672,2,1 min 21 secs,8.33,1.67,3.33,3.33,0
160,2313065,3,1 min 2 secs,10,1.67,3.33,3.33,1.67
161,2281465,2,55 secs,10,1.67,3.33,3.33,1.67
162,3202673,1,7 mins 34 secs,8.33,0.83,2.5,3.33,1.67
